title,tag,image_url,sale,gift,best,new,product_url,price,price_sale
컨트롤에이 티트리먼트 수딩 스팟,#여드름에 톡톡,https://image.drjart.com/img/001/1564568642855.png,,,,NEW,https://www.drjart.com/ko/prd/view/1035?activeTopGnb=all,"17,000",0
컨트롤에이 티트리먼트 토너,#스팟저격촉촉토너,https://image.drjart.com/img/001/1561940567451.png,,,,NEW,https://www.drjart.com/ko/prd/view/1024?activeTopGnb=all,"19,000",0
컨트롤에이 티트리먼트 모이스처라이저,#여드름저격크림,https://image.drjart.com/img/001/1595302719607.png,,,,NEW,https://www.drjart.com/ko/prd/view/1025?activeTopGnb=all,"24,000",0
컨트롤에이 티트리먼트 클렌징 폼,#여드름저격클렌저,https://image.drjart.com/img/001/1582525058867.png,,,,NEW,https://www.drjart.com/ko/prd/view/1023?activeTopGnb=all,"18,000",0
컨트롤에이 티트리먼트 바디 미스트,#스팟저격바디전용미스트,https://image.drjart.com/img/001/1561941733278.png,,,,NEW,https://www.drjart.com/ko/prd/view/1028?activeTopGnb=all,"19,000",0
컨트롤에이 티트리먼트 바디 클렌저,#여드름저격바디클렌저,https://image.drjart.com/img/001/1582524119587.png,,,,NEW,https://www.drjart.com/ko/prd/view/1027?activeTopGnb=all,"20,000",0
티트리먼트 듀오세트,#레드스팟저격,https://image.drjart.com/img/001/1587723544488.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/21233?activeTopGnb=all,"42,000"," 35,700"
컨트롤에이 스팟 진정 올킬 세트,#스팟 진정 올킬 세트,https://image.drjart.com/img/001/1582885008751.png,,,,,https://www.drjart.com/ko/prd/view/21151?activeTopGnb=all,"29,000",0
스팟 잡는 올킬 세트 ,# 스팟 고민 ALL KILL,https://image.drjart.com/img/001/1591094189638.png,SALE,,,,https://www.drjart.com/ko/prd/view/1069?activeTopGnb=all,"54,000"," 45,900"
바디 클리어 올킬 세트,#바디고민 ALL KILL,https://image.drjart.com/img/001/1566900370445.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1068?activeTopGnb=all,"39,000"," 33,150"
티트리먼트™ 대용량 3종세트,# 함께해서 15% SALE,https://image.drjart.com/img/001/1591091284160.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1067?activeTopGnb=all,"94,000"," 79,900"
티트리먼트™ 대용량 2종세트,# 함께해서 15% SALE,https://image.drjart.com/img/001/1590393773811.png,SALE,,,,https://www.drjart.com/ko/prd/view/1066?activeTopGnb=all,"67,000"," 56,950"
컨트롤에이 티트리먼트 스팟 패치 키트,#2스텝스팟패치,https://image.drjart.com/img/001/1582681521117.png,,,,,https://www.drjart.com/ko/prd/view/1034?activeTopGnb=all,"12,000",0
컨트롤에이 티트리먼트 인비저블 패치,#스팟저격인비저블패치,https://image.drjart.com/img/001/1561941251539.png,,,,,https://www.drjart.com/ko/prd/view/1026?activeTopGnb=all,"12,000",0
컨트롤 에이 센스티브 선 프로텍터,#여드름성피부적합선케어,https://image.drjart.com/img/001/1582885993045.png,SALE,,,,https://www.drjart.com/ko/prd/view/878?activeTopGnb=all,"29,000"," 24,650"
컨트롤에이 드라잉 스팟 코렉터,#스팟애프터크림,https://image.drjart.com/img/001/1508921853554.png,,,,,https://www.drjart.com/ko/prd/view/273?activeTopGnb=all,"31,000",0
