title,tag,image_url,sale,gift,best,new,product_url,price,price_sale
바이옴 환절기 보습 세트,# 바이옴 촉촉 가을 보습템,https://image.drjart.com/img/001/1568601448029.png,SALE,,,NEW,https://www.drjart.com/ko/prd/view/1084?activeTopGnb=all,"94,000"," 79,900"
바이탈 하이드라 솔루션 바이옴 에센스 245mL,#수분체질개선_에센스,https://image.drjart.com/img/001/1587439693412.png,,,,NEW,https://www.drjart.com/ko/prd/view/1018?activeTopGnb=all,"79,000",0
바이탈 하이드라 솔루션 바이옴 에센스 150mL,#수분체질개선_에센스,https://image.drjart.com/img/001/1594821291599.png,,,,NEW,https://www.drjart.com/ko/prd/view/1016?activeTopGnb=all,"49,000",0
바이탈 하이드라 솔루션 바이옴 워터 크림,#탱글수분크림,https://image.drjart.com/img/001/1560475092450.png,,GIFT,BEST,NEW,https://www.drjart.com/ko/prd/view/1015?activeTopGnb=all,"38,000",0
바이탈 하이드라 솔루션 바이옴 에멀전,#수분결에멀전,https://image.drjart.com/img/001/1560475424321.png,,GIFT,,NEW,https://www.drjart.com/ko/prd/view/1006?activeTopGnb=all,"36,000",0
바이탈 하이드라 솔루션 바이옴 토너,#수분톤토너,https://image.drjart.com/img/001/1560475562128.png,,GIFT,,NEW,https://www.drjart.com/ko/prd/view/1005?activeTopGnb=all,"36,000",0
더마스크 워터젯 바이탈 하이드라 솔루션,#수분솔루션마스크,https://image.drjart.com/img/001/1565765693697.png,,,,NEW,https://www.drjart.com/ko/prd/view/607?activeTopGnb=all,"20,000",0
바이옴™ 나이트 테라피 마스크 110ml,#딥슬립크림팩,https://image.drjart.com/img/001/1594629173565.png,SALE,,,,https://www.drjart.com/ko/prd/view/21325?activeTopGnb=all,"34,000"," 30,600"
바이옴 에센스&핑크 샷,#233억에센스+스팟케어,https://image.drjart.com/img/001/1594820194814.png,SALE,,,,https://www.drjart.com/ko/prd/view/21303?activeTopGnb=all,"45,000"," 38,250"
바이옴 에센스&옐로 샷,#233억에센스+탄력샷,https://image.drjart.com/img/001/1594820244382.png,SALE,,,,https://www.drjart.com/ko/prd/view/21302?activeTopGnb=all,"42,000"," 35,700"
바이옴 에센스&그린 샷,#233억에센스+진정샷,https://image.drjart.com/img/001/1594820303948.png,SALE,,,,https://www.drjart.com/ko/prd/view/21301?activeTopGnb=all,"42,000"," 35,700"
바이옴 에센스&블루 샷,#233억에센스+톤업샷,https://image.drjart.com/img/001/1594876474691.png,SALE,,BEST,,https://www.drjart.com/ko/prd/view/21300?activeTopGnb=all,"42,000"," 35,700"
바이옴 클렌저,#똑똑클렌저,https://image.drjart.com/img/001/1589418738580.png,,,BEST,,https://www.drjart.com/ko/prd/view/21282?activeTopGnb=all,"22,000",0
바이옴 에센스 45mL,#233억에센스 ,https://image.drjart.com/img/001/1592905001328.png,,,,,https://www.drjart.com/ko/prd/view/21281?activeTopGnb=all,"26,000",0
바이옴 나이트 테라피 트윈 세트,#너하나 나하나 함께 쓰는,https://image.drjart.com/img/001/1593148533573.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/21140?activeTopGnb=all,"60,000"," 51,000"
바이옴 에센스 트윈 세트,#너하나 나하나 함께 쓰는,https://image.drjart.com/img/001/1593148482493.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/21131?activeTopGnb=all,"98,000"," 83,300"
바이옴 간편 집중 트래블 키트,# 간편 여행용 키트,https://image.drjart.com/img/001/1569200604075.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1095?activeTopGnb=all,"43,000"," 36,550"
바이옴 베스트 트래블 키트,#간편 여행용 키트,https://image.drjart.com/img/001/1569198139407.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1093?activeTopGnb=all,"48,000"," 40,800"
고백성공을 부르는 촉촉 피부 SET,# 바이옴 수분 집중템,https://image.drjart.com/img/001/1593148398794.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1082?activeTopGnb=all,"87,000"," 73,950"
긴급 수분 바이옴 충전 세트,# 긴급 수분케어,https://image.drjart.com/img/001/1593148592952.png,SALE,,,,https://www.drjart.com/ko/prd/view/1033?activeTopGnb=all,"107,000"," 90,950"
유수분 밸런스 바이옴 세트,#각질+ 수분충전케어,https://image.drjart.com/img/001/1593148695305.png,SALE,,,,https://www.drjart.com/ko/prd/view/1032?activeTopGnb=all,"57,000"," 48,450"
데일리 바이옴 세트,# Daily 수분충전템,https://image.drjart.com/img/001/1593149088309.png,SALE,,,,https://www.drjart.com/ko/prd/view/1031?activeTopGnb=all,"79,000"," 67,150"
바이탈 하이드라 솔루션 바이옴 모이스처 크림,#수분고정크림,https://image.drjart.com/img/001/1582885789078.png,,,,,https://www.drjart.com/ko/prd/view/1014?activeTopGnb=all,"45,000",0
바이탈 하이드라 솔루션 바이옴 나이트 테라피 마스크,#딥슬립크림팩,https://image.drjart.com/img/001/1560475322489.png,,GIFT,,,https://www.drjart.com/ko/prd/view/1013?activeTopGnb=all,"30,000",0
바이탈 하이드라 솔루션 바이옴 아이 크림,#맑은인상아이크림,https://image.drjart.com/img/001/1560475364281.png,,GIFT,,,https://www.drjart.com/ko/prd/view/1012?activeTopGnb=all,"38,000",0
바이탈 하이드라 솔루션 캡슐 앰플,#파란캡슐,https://image.drjart.com/img/001/1550818726001.png,,,,,https://www.drjart.com/ko/prd/view/989?activeTopGnb=all,"69,000",0
더마스크 워터 젯 바이탈 하이드라 슬리핑 마스크,#한밤수분UP,https://image.drjart.com/img/001/1508846517538.png,,,,,https://www.drjart.com/ko/prd/view/817?activeTopGnb=all,"24,000",0
