title,tag,image_url,sale,gift,best,new,product_url,price,price_sale
세라마이딘 크림,#보습장벽크림,https://image.drjart.com/img/001/1580471127503.png,,GIFT,,NEW,https://www.drjart.com/ko/prd/view/831?activeTopGnb=all,"45,000",0
세라마이딘 리퀴드,#보습충전토너,https://image.drjart.com/img/001/1582884929174.png,,,,,https://www.drjart.com/ko/prd/view/832?activeTopGnb=all,"39,000",0
더마클리어 마이크로 폼,#미세버블폼클렌징,https://image.drjart.com/img/001/1520230577852.png,,,,,https://www.drjart.com/ko/prd/view/870?activeTopGnb=all,"18,000",0
더마클리어 마이크로 워터,#마이크로워터클렌징,https://image.drjart.com/img/001/1519797515381.png,,,,,https://www.drjart.com/ko/prd/view/869?activeTopGnb=all,"28,000",0
더마클리어 마이크로 약산성 폼,#저자극버블클렌징,https://image.drjart.com/img/001/1520231261622.png,,,,,https://www.drjart.com/ko/prd/view/871?activeTopGnb=all,"18,000",0
세라마이딘 바디 로션,#수딩보습로션,https://image.drjart.com/img/001/1582886215381.png,,,,,https://www.drjart.com/ko/prd/view/663?activeTopGnb=all,"24,000",0
세라마이딘 세럼,#5겹충전세럼,https://image.drjart.com/img/001/1582886167868.png,,,,,https://www.drjart.com/ko/prd/view/833?activeTopGnb=all,"42,000",0
세라마이딘 크림 미스트 110mL,#보습크림미스트,https://image.drjart.com/img/001/1540978446069.png,,,,,https://www.drjart.com/ko/prd/view/968?activeTopGnb=all,"24,000",0
세라마이딘 립페어,#보습립페어,https://image.drjart.com/img/001/1508994697261.png,,,,,https://www.drjart.com/ko/prd/view/834?activeTopGnb=all,"10,000",0
세라마이딘 바디 워시,#보습충전샤워젤,https://image.drjart.com/img/001/1509087533661.png,,,,,https://www.drjart.com/ko/prd/view/771?activeTopGnb=all,"24,000",0
세라마이딘 바디 오일,#보습코팅오일,https://image.drjart.com/img/001/1582885865051.png,,,,,https://www.drjart.com/ko/prd/view/665?activeTopGnb=all,"24,000",0
세라마이딘 오일 밤,#멀티보습밤,https://image.drjart.com/img/001/1508914111402.png,,,,,https://www.drjart.com/ko/prd/view/546?activeTopGnb=all,"28,000",0
세라마이딘 핸드크림 100mL,#고보습핸드크림,https://image.drjart.com/img/001/1519296777296.png,,,,,https://www.drjart.com/ko/prd/view/867?activeTopGnb=all,"18,000",0
세라마이딘 크림 미스트 50mL,#보습크림미스트,https://image.drjart.com/img/001/1540978496545.png,,,,,https://www.drjart.com/ko/prd/view/969?activeTopGnb=all,"15,000",0
세라마이딘 바디 버터,#고농축바디버터,https://image.drjart.com/img/001/1509251451675.png,,,,,https://www.drjart.com/ko/prd/view/856?activeTopGnb=all,"24,000",0
세라마이딘 핸드크림 50mL,#고보습핸드크림 ,https://image.drjart.com/img/001/1519296291750.png,,,,,https://www.drjart.com/ko/prd/view/866?activeTopGnb=all,"12,000",0
세라마이딘 바디 스크럽,#크림스크럽,https://image.drjart.com/img/001/1509248366364.png,,,,,https://www.drjart.com/ko/prd/view/855?activeTopGnb=all,"24,000",0
세라마이딘 3-Step 보습 바디 세트,#바디케어트리오세트,https://image.drjart.com/img/001/1548982045438.png,,,,,https://www.drjart.com/ko/prd/view/970?activeTopGnb=all,"18,000",0
세라마이딘 페이셜 베리어 마스크,#고보습세라마스크,https://image.drjart.com/img/001/1580470815498.png,,,,,https://www.drjart.com/ko/prd/view/21152?activeTopGnb=all,"20,000",0
비 펩타이드 트리트먼트 앰플,#여왕벌에너지앰플,https://image.drjart.com/img/001/1594015572441.png,,,,,https://www.drjart.com/ko/prd/view/21323?activeTopGnb=all,"12,000",0
세라마이딘 바디 보습 충전 SET,#보습충전바디SET,https://image.drjart.com/img/001/1580471083284.png,SALE,,,,https://www.drjart.com/ko/prd/view/21199?activeTopGnb=all,"48,000"," 40,800"
세라마이딘 바디케어 3-STEP 세트,#바디워시+바디로션+바디스크럽+타올,https://image.drjart.com/img/001/1593423230792.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/983?activeTopGnb=all,"68,000"," 57,800"
