title,tag,image_url,sale,gift,best,new,product_url,price,price_sale
컨트롤 에이 센스티브 선 프로텍터,#여드름성피부적합선케어,https://image.drjart.com/img/001/1582885993045.png,SALE,,,,https://www.drjart.com/ko/prd/view/878?activeTopGnb=all,"29,000"," 24,650"
에브리 선 데이 톤 업 선스크린,#촉촉한톤업선케어,https://image.drjart.com/img/001/1554105011443.png,SALE,,,,https://www.drjart.com/ko/prd/view/880?activeTopGnb=all,"29,000"," 24,650"
에브리 선 데이 모이스처라이징 선,#종일보습선케어,https://image.drjart.com/img/001/1554103279254.png,SALE,,,,https://www.drjart.com/ko/prd/view/882?activeTopGnb=all,"29,000"," 24,650"
에브리 선 데이 마일드 선,#무기자차선케어,https://image.drjart.com/img/001/1554105610228.png,SALE,,,,https://www.drjart.com/ko/prd/view/881?activeTopGnb=all,"32,000"," 27,200"
솔라바이옴™ 프라이머,#프라이머선크림,https://image.drjart.com/img/001/1590138397977.png,SALE,,,,https://www.drjart.com/ko/prd/view/21219?activeTopGnb=all,"29,000"," 26,100"
솔라바이옴™앰플 특별 기획세트 ,#수분선앰플,https://image.drjart.com/img/001/1591944934738.png,SALE,,BEST,,https://www.drjart.com/ko/prd/view/21228?activeTopGnb=all,"39,000"," 35,100"
솔라바이옴™프라이머 특별기획세트,#프라이머선크림,https://image.drjart.com/img/001/1587021615232.png,SALE,,BEST,,https://www.drjart.com/ko/prd/view/21229?activeTopGnb=all,"29,000"," 26,100"
솔라바이옴™ 징크림,#민감피부선크림,https://image.drjart.com/img/001/1588154298905.png,SALE,,,,https://www.drjart.com/ko/prd/view/21220?activeTopGnb=all,"29,000"," 26,100"
솔라바이옴™징크림 특별 기획세트,#민감피부선크림,https://image.drjart.com/img/001/1587022010571.png,SALE,,,,https://www.drjart.com/ko/prd/view/21230?activeTopGnb=all,"29,000"," 26,100"
솔라바이옴™ 플루이드 특별 기획세트 ,#산뜻선플루이드,https://image.drjart.com/img/001/1587020955660.png,,,,,https://www.drjart.com/ko/prd/view/21227?activeTopGnb=all,"32,000",0
솔라바이옴™ 플루이드,#산뜻선플루이드,https://image.drjart.com/img/001/1588151710419.png,,,,,https://www.drjart.com/ko/prd/view/21224?activeTopGnb=all,"32,000",0
시카페어 컬러코렉팅 트리트먼트,#시카선쉴드크림,https://image.drjart.com/img/001/1587641435654.png,,,,,https://www.drjart.com/ko/prd/view/21235?activeTopGnb=all,"60,000",0
솔라바이옴 우주선크림 에프터세트,#보습선케어세트,https://image.drjart.com/img/001/1587723510069.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/21232?activeTopGnb=all,"50,000"," 42,500"
