title,tag,image_url,sale,gift,best,new,product_url,price,price_sale
포맨 스킨 에센스,남자의 스킨케어를 한 번에 끝내주는,https://image.drjart.com/img/001/1581914264009.png,,,,,https://www.drjart.com/ko/prd/view/686?activeTopGnb=all,29000,0
브이세븐 래디언스 토너,미백 광채 토너,https://image.drjart.com/img/001/1508909655012.png,,,,,https://www.drjart.com/ko/prd/view/471?activeTopGnb=all,0,0
브이세븐 세럼,#비타토닝세럼,https://image.drjart.com/img/001/1541040133281.png,,,,,https://www.drjart.com/ko/prd/view/964?activeTopGnb=all,45000,0
브이세븐 브라이트닝 마스크,#비타톤업마스크,https://image.drjart.com/img/001/1542354535969.png,,,,,https://www.drjart.com/ko/prd/view/974?activeTopGnb=all,20000,0
브이세븐 비타레이저 2.1,#비타집중트리트먼트,https://image.drjart.com/img/001/1547526713266.png,,,,,https://www.drjart.com/ko/prd/view/965?activeTopGnb=all,48000,0
브이세븐 토너,#비타투명토너,https://image.drjart.com/img/001/1539585938370.png,,,,,https://www.drjart.com/ko/prd/view/962?activeTopGnb=all,37000,0
브이세븐 에멀전,#비타투명에멀전,https://image.drjart.com/img/001/1539586386912.png,,,,,https://www.drjart.com/ko/prd/view/963?activeTopGnb=all,38000,0
브이세븐 핑크 토닝,#비타핑크톤업크림,https://image.drjart.com/img/001/1539587127007.png,,,,,https://www.drjart.com/ko/prd/view/967?activeTopGnb=all,0,0
브이세븐 샤이닝 라이트,#토닝광채바탕크림,https://image.drjart.com/img/001/1508849617414.png,,,,,https://www.drjart.com/ko/prd/view/816?activeTopGnb=all,48000,0
브이세븐 토닝 라이트,#비타톤업크림,https://image.drjart.com/img/001/1539943452382.png,,,,,https://www.drjart.com/ko/prd/view/966?activeTopGnb=all,48000,0
크라이오 러버 위드 모이스처라이징 히알루론산,#수분고무마스크,https://image.drjart.com/img/001/1594873873529.png,,,,,https://www.drjart.com/ko/prd/view/1099?activeTopGnb=all,12000,0
더마스크 쉐이킹 러버 루미너스 샷,#백옥바탕샷,https://image.drjart.com/img/001/1508842817281.png,,,,,https://www.drjart.com/ko/prd/view/821?activeTopGnb=all,8000,0
크라이오 러버 위드 수딩 알란토인,#진정고무마스크,https://image.drjart.com/img/001/1589722344105.png,,,,,https://www.drjart.com/ko/prd/view/1098?activeTopGnb=all,12000,0
크라이오 러버 위드 브라이트닝 비타민 씨,#톤업고무마스크,https://image.drjart.com/img/001/1589722576231.png,,,,,https://www.drjart.com/ko/prd/view/1097?activeTopGnb=all,12000,0
더마스크 마이크로젯 브라이트닝 솔루션,#미백솔루션마스크,https://image.drjart.com/img/001/1570145885666.png,SALE,,,,https://www.drjart.com/ko/prd/view/21116?activeTopGnb=all,25000,20000
스페셜 데이를 위한 관리 SET,#특별한날 러버 테라피,https://image.drjart.com/img/001/1581914347415.png,SALE,,,,https://www.drjart.com/ko/prd/view/21208?activeTopGnb=all,24000,20400
