title,tag,image_url,sale,gift,best,new,product_url,price,price_sale
더마 코튼 패드 세트,100% 천연 코튼 패드 (80매*3ea),https://image.drjart.com/img/001/1514957241897.PNG,,,,,https://www.drjart.com/ko/prd/view/512?activeTopGnb=all,"12,000",0
티트리먼트™ 대용량 2종세트,# 함께해서 15% SALE,https://image.drjart.com/img/001/1590393773811.png,SALE,,,,https://www.drjart.com/ko/prd/view/1066?activeTopGnb=all,"67,000"," 56,950"
티트리먼트™ 대용량 3종세트,# 함께해서 15% SALE,https://image.drjart.com/img/001/1591091284160.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1067?activeTopGnb=all,"94,000"," 79,900"
시카페어 진정 보습 홈케어 세트,#홈케어추천세트,https://image.drjart.com/img/001/1590393347113.png,SALE,,,,https://www.drjart.com/ko/prd/view/1108?activeTopGnb=all,"107,000"," 90,950"
세라마이딘 3-Step 보습 바디 세트,#바디케어트리오세트,https://image.drjart.com/img/001/1548982045438.png,,,,,https://www.drjart.com/ko/prd/view/970?activeTopGnb=all,"18,000",0
바이옴 에센스&블루 샷,#233억에센스+톤업샷,https://image.drjart.com/img/001/1594876474691.png,SALE,,BEST,,https://www.drjart.com/ko/prd/view/21300?activeTopGnb=all,"42,000"," 35,700"
솔라바이옴™앰플 특별 기획세트 ,#수분선앰플,https://image.drjart.com/img/001/1591944934738.png,SALE,,BEST,,https://www.drjart.com/ko/prd/view/21228?activeTopGnb=all,"39,000"," 35,100"
솔라바이옴™프라이머 특별기획세트,#프라이머선크림,https://image.drjart.com/img/001/1587021615232.png,SALE,,BEST,,https://www.drjart.com/ko/prd/view/21229?activeTopGnb=all,"29,000"," 26,100"
고백성공을 부르는 촉촉 피부 SET,# 바이옴 수분 집중템,https://image.drjart.com/img/001/1593148398794.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1082?activeTopGnb=all,"87,000"," 73,950"
솔라바이옴™징크림 특별 기획세트,#민감피부선크림,https://image.drjart.com/img/001/1587022010571.png,SALE,,,,https://www.drjart.com/ko/prd/view/21230?activeTopGnb=all,"29,000"," 26,100"
스팟 잡는 올킬 세트 ,# 스팟 고민 ALL KILL,https://image.drjart.com/img/001/1591094189638.png,SALE,,,,https://www.drjart.com/ko/prd/view/1069?activeTopGnb=all,"54,000"," 45,900"
솔라바이옴™ 플루이드 특별 기획세트 ,#산뜻선플루이드,https://image.drjart.com/img/001/1587020955660.png,,,,,https://www.drjart.com/ko/prd/view/21227?activeTopGnb=all,"32,000",0
바이옴 환절기 보습 세트,# 바이옴 촉촉 가을 보습템,https://image.drjart.com/img/001/1568601448029.png,SALE,,,NEW,https://www.drjart.com/ko/prd/view/1084?activeTopGnb=all,"94,000"," 79,900"
바이옴 에센스&핑크 샷,#233억에센스+스팟케어,https://image.drjart.com/img/001/1594820194814.png,SALE,,,,https://www.drjart.com/ko/prd/view/21303?activeTopGnb=all,"45,000"," 38,250"
컨트롤에이 스팟 진정 올킬 세트,#스팟 진정 올킬 세트,https://image.drjart.com/img/001/1582885008751.png,,,,,https://www.drjart.com/ko/prd/view/21151?activeTopGnb=all,"29,000",0
바디 클리어 올킬 세트,#바디고민 ALL KILL,https://image.drjart.com/img/001/1566900370445.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1068?activeTopGnb=all,"39,000"," 33,150"
데일리 바이옴 세트,# Daily 수분충전템,https://image.drjart.com/img/001/1593149088309.png,SALE,,,,https://www.drjart.com/ko/prd/view/1031?activeTopGnb=all,"79,000"," 67,150"
바이옴 간편 집중 트래블 키트,# 간편 여행용 키트,https://image.drjart.com/img/001/1569200604075.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1095?activeTopGnb=all,"43,000"," 36,550"
긴급 수분 바이옴 충전 세트,# 긴급 수분케어,https://image.drjart.com/img/001/1593148592952.png,SALE,,,,https://www.drjart.com/ko/prd/view/1033?activeTopGnb=all,"107,000"," 90,950"
안심파데 밤컨실러 세트,#확실한커버,https://image.drjart.com/img/001/1536030559039.png,SALE,,,,https://www.drjart.com/ko/prd/view/929?activeTopGnb=all,"57,000"," 48,450"
바이옴 에센스&그린 샷,#233억에센스+진정샷,https://image.drjart.com/img/001/1594820303948.png,SALE,,,,https://www.drjart.com/ko/prd/view/21301?activeTopGnb=all,"42,000"," 35,700"
시카페어 집중케어 3종 세트,#한정수량추천세트,https://image.drjart.com/img/001/1590393639665.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1079?activeTopGnb=all,"86,000"," 73,100"
