title,tag,image_url,sale,gift,best,new,product_url,price,price_sale
2세대 시카페어 크림,#시카페어크림,https://image.drjart.com/img/001/1589760654735.png,,,,NEW,https://www.drjart.com/ko/prd/view/707?activeTopGnb=all,"48,000",0
세라마이딘 크림,#보습장벽크림,https://image.drjart.com/img/001/1580471127503.png,,GIFT,,NEW,https://www.drjart.com/ko/prd/view/831?activeTopGnb=all,"45,000",0
컨트롤에이 티트리먼트 모이스처라이저,#여드름저격크림,https://image.drjart.com/img/001/1595302719607.png,,,,NEW,https://www.drjart.com/ko/prd/view/1025?activeTopGnb=all,"24,000",0
시카페어 카밍 젤 크림,#수분진정젤,https://image.drjart.com/img/001/1582886110492.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/948?activeTopGnb=all,"35,000"," 33,250"
바이탈 하이드라 솔루션 바이옴 워터 크림,#탱글수분크림,https://image.drjart.com/img/001/1560475092450.png,,GIFT,BEST,NEW,https://www.drjart.com/ko/prd/view/1015?activeTopGnb=all,"38,000",0
2세대 시카페어 리커버,#그린커버크림,https://image.drjart.com/img/001/1567175555779.png,,,,NEW,https://www.drjart.com/ko/prd/view/708?activeTopGnb=all,"43,000",0
세라마이딘 오일 밤,#멀티보습밤,https://image.drjart.com/img/001/1508914111402.png,,,,,https://www.drjart.com/ko/prd/view/546?activeTopGnb=all,"28,000",0
티트리먼트™ 대용량 2종세트,# 함께해서 15% SALE,https://image.drjart.com/img/001/1590393773811.png,SALE,,,,https://www.drjart.com/ko/prd/view/1066?activeTopGnb=all,"67,000"," 56,950"
티트리먼트™ 대용량 3종세트,# 함께해서 15% SALE,https://image.drjart.com/img/001/1591091284160.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1067?activeTopGnb=all,"94,000"," 79,900"
바이탈 하이드라 솔루션 바이옴 모이스처 크림,#수분고정크림,https://image.drjart.com/img/001/1582885789078.png,,,,,https://www.drjart.com/ko/prd/view/1014?activeTopGnb=all,"45,000",0
시카페어 진정 보습 홈케어 세트,#홈케어추천세트,https://image.drjart.com/img/001/1590393347113.png,SALE,,,,https://www.drjart.com/ko/prd/view/1108?activeTopGnb=all,"107,000"," 90,950"
브이세븐 비타레이저 2.1,#비타집중트리트먼트,https://image.drjart.com/img/001/1547526713266.png,,,,,https://www.drjart.com/ko/prd/view/965?activeTopGnb=all,"48,000",0
브이세븐 핑크 토닝,#비타핑크톤업크림,https://image.drjart.com/img/001/1539587127007.png,,,,,https://www.drjart.com/ko/prd/view/967?activeTopGnb=all,"48,000",0
브이세븐 샤이닝 라이트,#토닝광채바탕크림,https://image.drjart.com/img/001/1508849617414.png,,,,,https://www.drjart.com/ko/prd/view/816?activeTopGnb=all,"48,000",0
브이세븐 토닝 라이트,#비타톤업크림,https://image.drjart.com/img/001/1539943452382.png,,,,,https://www.drjart.com/ko/prd/view/966?activeTopGnb=all,"48,000",0
고백성공을 부르는 촉촉 피부 SET,# 바이옴 수분 집중템,https://image.drjart.com/img/001/1593148398794.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1082?activeTopGnb=all,"87,000"," 73,950"
스팟 잡는 올킬 세트 ,# 스팟 고민 ALL KILL,https://image.drjart.com/img/001/1591094189638.png,SALE,,,,https://www.drjart.com/ko/prd/view/1069?activeTopGnb=all,"54,000"," 45,900"
바이옴 환절기 보습 세트,# 바이옴 촉촉 가을 보습템,https://image.drjart.com/img/001/1568601448029.png,SALE,,,NEW,https://www.drjart.com/ko/prd/view/1084?activeTopGnb=all,"94,000"," 79,900"
바이옴 간편 집중 트래블 키트,# 간편 여행용 키트,https://image.drjart.com/img/001/1569200604075.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1095?activeTopGnb=all,"43,000"," 36,550"
긴급 수분 바이옴 충전 세트,# 긴급 수분케어,https://image.drjart.com/img/001/1593148592952.png,SALE,,,,https://www.drjart.com/ko/prd/view/1033?activeTopGnb=all,"107,000"," 90,950"
시카페어 집중케어 3종 세트,#한정수량추천세트,https://image.drjart.com/img/001/1590393639665.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1079?activeTopGnb=all,"86,000"," 73,100"
데이 앤 나이트 케어세트,#밤낮을가리지않는진정,https://image.drjart.com/img/001/1579482076708.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/21203?activeTopGnb=all,"57,000"," 48,450"
바이옴 베스트 트래블 키트,#간편 여행용 키트,https://image.drjart.com/img/001/1569198139407.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1093?activeTopGnb=all,"48,000"," 40,800"
바이옴 나이트 테라피 트윈 세트,#너하나 나하나 함께 쓰는,https://image.drjart.com/img/001/1593148533573.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/21140?activeTopGnb=all,"60,000"," 51,000"
