title,tag,image_url,sale,gift,best,new,product_url,price,price_sale
2세대 시카페어 세럼,#시카리페어세럼 ,https://image.drjart.com/img/001/1589852789984.png,SALE,GIFT,,NEW,https://www.drjart.com/ko/prd/view/798?activeTopGnb=all,"39,000"," 37,050"
포맨 스킨 에센스,남자의 스킨케어를 한 번에 끝내주는,https://image.drjart.com/img/001/1581914264009.png,,,,,https://www.drjart.com/ko/prd/view/686?activeTopGnb=all,"29,000",0
바이탈 하이드라 솔루션 바이옴 에센스 150mL,#수분체질개선_에센스,https://image.drjart.com/img/001/1594821291599.png,,,,NEW,https://www.drjart.com/ko/prd/view/1016?activeTopGnb=all,"49,000",0
세라마이딘 세럼,#5겹충전세럼,https://image.drjart.com/img/001/1582886167868.png,,,,,https://www.drjart.com/ko/prd/view/833?activeTopGnb=all,"42,000",0
펩타이딘 세럼 핑크 에너지,#에너지광세럼,https://image.drjart.com/img/001/1577776879575.png,,,,,https://www.drjart.com/ko/prd/view/864?activeTopGnb=all,"42,000",0
바이탈 하이드라 솔루션 캡슐 앰플,#파란캡슐,https://image.drjart.com/img/001/1550818726001.png,,,,,https://www.drjart.com/ko/prd/view/989?activeTopGnb=all,"69,000",0
컨트롤에이 티트리먼트 수딩 스팟,#여드름에 톡톡,https://image.drjart.com/img/001/1564568642855.png,,,,NEW,https://www.drjart.com/ko/prd/view/1035?activeTopGnb=all,"17,000",0
바이탈 하이드라 솔루션 바이옴 에멀전,#수분결에멀전,https://image.drjart.com/img/001/1560475424321.png,,GIFT,,NEW,https://www.drjart.com/ko/prd/view/1006?activeTopGnb=all,"36,000",0
브이세븐 세럼,#비타토닝세럼,https://image.drjart.com/img/001/1541040133281.png,,,,,https://www.drjart.com/ko/prd/view/964?activeTopGnb=all,"45,000",0
바이탈 하이드라 솔루션 바이옴 에센스 245mL,#수분체질개선_에센스,https://image.drjart.com/img/001/1587439693412.png,,,,NEW,https://www.drjart.com/ko/prd/view/1018?activeTopGnb=all,"79,000",0
시카페어 진정 보습 홈케어 세트,#홈케어추천세트,https://image.drjart.com/img/001/1590393347113.png,SALE,,,,https://www.drjart.com/ko/prd/view/1108?activeTopGnb=all,"107,000"," 90,950"
컨트롤에이 드라잉 스팟 코렉터,#스팟애프터크림,https://image.drjart.com/img/001/1508921853554.png,,,,,https://www.drjart.com/ko/prd/view/273?activeTopGnb=all,"31,000",0
바이옴 에센스&블루 샷,#233억에센스+톤업샷,https://image.drjart.com/img/001/1594876474691.png,SALE,,BEST,,https://www.drjart.com/ko/prd/view/21300?activeTopGnb=all,"42,000"," 35,700"
브이세븐 에멀전,#비타투명에멀전,https://image.drjart.com/img/001/1539586386912.png,,,,,https://www.drjart.com/ko/prd/view/963?activeTopGnb=all,"38,000",0
고백성공을 부르는 촉촉 피부 SET,# 바이옴 수분 집중템,https://image.drjart.com/img/001/1593148398794.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1082?activeTopGnb=all,"87,000"," 73,950"
바이옴 환절기 보습 세트,# 바이옴 촉촉 가을 보습템,https://image.drjart.com/img/001/1568601448029.png,SALE,,,NEW,https://www.drjart.com/ko/prd/view/1084?activeTopGnb=all,"94,000"," 79,900"
바이옴 에센스&핑크 샷,#233억에센스+스팟케어,https://image.drjart.com/img/001/1594820194814.png,SALE,,,,https://www.drjart.com/ko/prd/view/21303?activeTopGnb=all,"45,000"," 38,250"
데일리 바이옴 세트,# Daily 수분충전템,https://image.drjart.com/img/001/1593149088309.png,SALE,,,,https://www.drjart.com/ko/prd/view/1031?activeTopGnb=all,"79,000"," 67,150"
긴급 수분 바이옴 충전 세트,# 긴급 수분케어,https://image.drjart.com/img/001/1593148592952.png,SALE,,,,https://www.drjart.com/ko/prd/view/1033?activeTopGnb=all,"107,000"," 90,950"
바이옴 에센스&그린 샷,#233억에센스+진정샷,https://image.drjart.com/img/001/1594820303948.png,SALE,,,,https://www.drjart.com/ko/prd/view/21301?activeTopGnb=all,"42,000"," 35,700"
바이옴 에센스 트윈 세트,#너하나 나하나 함께 쓰는,https://image.drjart.com/img/001/1593148482493.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/21131?activeTopGnb=all,"98,000"," 83,300"
바이옴 에센스&옐로 샷,#233억에센스+탄력샷,https://image.drjart.com/img/001/1594820244382.png,SALE,,,,https://www.drjart.com/ko/prd/view/21302?activeTopGnb=all,"42,000"," 35,700"
바이옴 베스트 트래블 키트,#간편 여행용 키트,https://image.drjart.com/img/001/1569198139407.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1093?activeTopGnb=all,"48,000"," 40,800"
비 펩타이드 트리트먼트 앰플,#여왕벌에너지앰플,https://image.drjart.com/img/001/1594015572441.png,,,,,https://www.drjart.com/ko/prd/view/21323?activeTopGnb=all,"12,000",0
바이옴 에센스 45mL,#233억에센스 ,https://image.drjart.com/img/001/1592905001328.png,,,,,https://www.drjart.com/ko/prd/view/21281?activeTopGnb=all,"26,000",0
유수분 밸런스 바이옴 세트,#각질+ 수분충전케어,https://image.drjart.com/img/001/1593148695305.png,SALE,,,,https://www.drjart.com/ko/prd/view/1032?activeTopGnb=all,"57,000"," 48,450"
